email,phone,employee_id,first_name,last_name,hire_date,manager_id,job_title
tommy.bailey@example.com,515.123.4567,1,Tommy,Bailey,2016-06-17 00:00:00.000,NULL,President
jude.rivera@example.com,515.123.4568,2,Jude,Rivera,2016-09-21 00:00:00.000,1,Administration Vice President
blake.cooper@example.com,515.123.4569,3,Blake,Cooper,2016-01-13 00:00:00.000,1,Administration Vice President
louie.richardson@example.com,590.423.4567,4,Louie,Richardson,2016-01-03 00:00:00.000,3,Programmer
nathan.cox@example.com,590.423.4568,5,Nathan,Cox,2016-05-21 00:00:00.000,4,Programmer
gabriel.howard@example.com,590.423.4569,6,Gabriel,Howard,2016-06-25 00:00:00.000,4,Programmer
charles.ward@example.com,590.423.4560,7,Charles,Ward,2016-02-05 00:00:00.000,4,Programmer
bobby.torres@example.com,590.423.5567,8,Bobby,Torres,2016-02-07 00:00:00.000,4,Programmer
mohammad.peterson@example.com,515.124.4569,9,Mohammad,Peterson,2016-08-17 00:00:00.000,2,Finance Manager
ryan.gray@example.com,515.124.4169,10,Ryan,Gray,2016-08-16 00:00:00.000,9,Accountant
tyler.ramirez@example.com,515.124.4269,11,Tyler,Ramirez,2016-09-28 00:00:00.000,9,Accountant
elliott.james@example.com,515.124.4369,12,Elliott,James,2016-09-30 00:00:00.000,9,Accountant
albert.watson@example.com,515.124.4469,13,Albert,Watson,2016-03-07 00:00:00.000,9,Accountant
elliot.brooks@example.com,515.124.4567,14,Elliot,Brooks,2016-12-07 00:00:00.000,9,Accountant
rory.kelly@example.com,515.127.4561,15,Rory,Kelly,2016-12-07 00:00:00.000,1,Purchasing Manager
alex.sanders@example.com,515.127.4562,16,Alex,Sanders,2016-05-18 00:00:00.000,15,Purchasing Clerk
frederick.price@example.com,515.127.4563,17,Frederick,Price,2016-12-24 00:00:00.000,15,Purchasing Clerk
ollie.bennett@example.com,515.127.4564,18,Ollie,Bennett,2016-07-24 00:00:00.000,15,Purchasing Clerk
